BugID,File1,File2,File3,File4,File5,File6,File7,File8,File9,File10
423257,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc152\b166a7e Ajc152Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc152\6b2d9ae Ajc152Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc152\69e24e9 Ajc152Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc152\26a8a86 Ajc152Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\testdata\src1\ltw\33d8ee9 LTWPackageTest.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc152\4513e92 Ajc152Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc152\9ffc63b Ajc152Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc154\9de03b7 Ajc154Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc151\01a8b2e Ajc151Tests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc152\791f8a7 Ajc152Tests.java
420210,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\extra_inserts\9319e34 Code.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs\7f19ab4 WithincodeNPE01.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.matcher\src\org\aspectj\weaver\9319e34 Checker.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\bridge\src\org\aspectj\bridge\9897659 WeaveMessage.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs150\pr99191\2da9b31 pr99191_3.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\bridge\src\org\aspectj\bridge\abc9a58 WeaveMessage.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\bridge\src\org\aspectj\bridge\c6bc7a2 WeaveMessage.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs150\pr99191\2da9b31 pr99191_6.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\tools\cache\9a3cc2b CachedClassReference.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs153\pr159143\513564a DeclareMethodAnnotation.java
419279,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\xlint\70b9ffd XLintTests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\xlint\047173e XLintTests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\c1260e6 Lint.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\97ab1e9 Lint.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\0c83343 Lint.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\4feb835 Lint.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\taskdefs\src\org\aspectj\tools\ant\taskdefs\2502ee5 AjcTask.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\taskdefs\src\org\aspectj\tools\ant\taskdefs\16a0abd AjcTask.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\taskdefs\src\org\aspectj\tools\ant\taskdefs\12e6334 AjcTask.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\src\org\aspectj\ajdt\ajc\6e6658a BuildArgParser.java
415266,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime5\java5-src\org\aspectj\weaver\loadtime\bebb364 Agent.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\75afb31 JRockitAgent.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\testsrc\org\aspectj\bea\jvm\75afb31 JVMImpl.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc150\ltw\7b831ff LTWTests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\ajdoc\src\org\aspectj\tools\ajdoc\59d5c3b JavadocRunner.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\ajde\testsrc\org\aspectj\ajde\5765d53 GenericsTest.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\testsrc\org\aspectj\bea\jvm\75afb31 ClassLibraryImpl.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\tools\cache\9a3cc2b WeavedClassCache.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime5\java5-src\org\aspectj\weaver\loadtime\f14646f ClassPreProcessorAgentAdapter.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\039be68 ClassLoaderWeavingAdaptor.java
418129,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs150\pr99191\2da9b31 pr99191_3.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs\c798923 IntertypeDifferentThrows.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target4.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target2.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs150\pr117681\11ab99f TestAspect.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target3.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs150\pr99191\2da9b31 pr99191_6.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs150\pr99191\2da9b31 pr99191_5.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs153\pr161217\044542c AtAspectJAspect.java
368046,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc150\ltw\7b831ff LTWTests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc150\ltw\1e1bbb3 LTWTests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\70888dd ClassLoaderWeavingAdaptor.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\f14646f ClassLoaderWeavingAdaptor.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\12e6334 ClassLoaderWeavingAdaptor.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\03b20bc ClassLoaderWeavingAdaptor.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\4513e92 ClassLoaderWeavingAdaptor.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\9edb4b6 ClassLoaderWeavingAdaptor.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\src\org\aspectj\systemtest\ajc150\ltw\039be68 LTWTests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\loadtime\src\org\aspectj\weaver\loadtime\039be68 ClassLoaderWeavingAdaptor.java
413378,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr413378\302c14e Code.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\java5\ataspectj\ataspectj\619a6ad Bug104212.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr419279\b2cd5fa Code.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs\PR68991\64183c3 Simple.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs\pr59208\44a92e1 FooProducer.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\4feb835 DeclareParents.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs150\pr99191\2da9b31 pr99191_6.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\061395c DeclareParents.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs151\d4219e1 pr121616.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs153\pr155972\090de7e ConstructorTest.java
407017,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs152\pr138384\5d2b5b8 BigMethod.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs152\pr135068\9ffc63b A.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\src\org\aspectj\ajdt\internal\core\builder\b133299 AjIncrementalImageBuilder.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs154\pr211674\9de03b7 Test.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs154\pr211674\9de03b7 Test2.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\src\org\aspectj\ajdt\internal\core\builder\b133299 AjBatchImageBuilder.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\src\org\aspectj\ajdt\ajc\a26cac9 AjdtCommand.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\src\org\aspectj\ajdt\ajc\d5ea336 AjdtCommand.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\testsrc\6ea8300 EajcModuleTests.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\multiIncremental\PR141956\base\5f6a6b1 A.java
408721,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\7d14432 TypePattern.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\internal\tools\522911e TypePatternMatcherImpl.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\4feb835 TypePattern.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\a39f595 HandlerPointcut.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\8a8930f HandlerPointcut.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\797b6a6 HandlerPointcut.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\8a8930f TypePattern.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\797b6a6 TypePattern.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\451fea8 TypePattern.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\weaver\src\org\aspectj\weaver\patterns\01a8b2e TypePattern.java
404600,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target2.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target4.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs175\pr423257\dd88d21 AspectX.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\bugs174\pr418129\2393bef Target3.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\bcel-builder\src\org\aspectj\apache\bcel\generic\bf767a9 TABLESWITCH.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\bcel-builder\src\org\aspectj\apache\bcel\util\387c3ac ClassLoaderRepository.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\tests\multiIncremental\PR278496_11_a\base\com\2edb246 Dibble.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\org.aspectj.ajdt.core\src\org\aspectj\ajdt\internal\core\builder\f7508cf AjBuildManager.java,CIS580_Assignment_BugLocalization\sourceFile_aspectj\org.aspectj\ajde\testsrc\org\aspectj\ajde\5765d53 GenericsTest.java
